
2024/12/05 (18:55:12) | ===> btop++ v.1.4.0
2024/12/05 (18:55:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (20:04:49) | ===> btop++ v.1.4.0
2024/12/05 (20:04:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (20:16:00) | ===> btop++ v.1.4.0
2024/12/05 (20:16:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (23:26:46) | ===> btop++ v.1.4.0
2024/12/05 (23:26:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (23:27:46) | ===> btop++ v.1.4.0
2024/12/05 (23:27:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (13:48:10) | ===> btop++ v.1.4.0
2024/12/06 (13:48:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:05:57) | ===> btop++ v.1.4.0
2024/12/06 (15:05:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:20:38) | ===> btop++ v.1.4.0
2024/12/06 (15:20:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:41:35) | ===> btop++ v.1.4.0
2024/12/06 (15:41:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (15:53:53) | ===> btop++ v.1.4.0
2024/12/06 (15:53:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (17:07:19) | ===> btop++ v.1.4.0
2024/12/06 (17:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (17:58:26) | ===> btop++ v.1.4.0
2024/12/06 (17:58:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (18:00:03) | ===> btop++ v.1.4.0
2024/12/06 (18:00:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (18:00:25) | ===> btop++ v.1.4.0
2024/12/06 (18:00:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (18:00:59) | ===> btop++ v.1.4.0
2024/12/06 (18:00:59) | WARNING: Intel GPU: Failed to initialize PMU
